                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0311,                0.88594,                 1.3114,                0.75986,                0.74092,                0.80234,                0.48514,                 1.2991,                0.88039,                 1.6931,              0.0007822,              0.0007822,              0.0007822
                     36,                 1.0556,                0.86783,                 1.3251,                0.53197,                0.81132,                0.62653,                0.39381,                 1.2358,                0.93579,                 1.5985,              0.0007756,              0.0007756,              0.0007756
                     37,                 1.0209,                0.88767,                 1.3055,                0.58501,                0.83434,                0.68033,                0.44078,                 1.1976,                0.87879,                 1.5659,               0.000769,               0.000769,               0.000769
                     38,                  1.029,                0.86461,                 1.3182,                0.77611,                 0.7201,                0.86276,                0.53414,                 1.2248,                0.87249,                 1.5875,              0.0007624,              0.0007624,              0.0007624
                     39,                 1.0169,                 0.8649,                 1.3016,                0.69251,                 0.7978,                 0.6998,                0.45223,                 1.2398,                0.87369,                  1.627,              0.0007558,              0.0007558,              0.0007558
                     40,                0.99475,                0.83065,                 1.2849,                0.60991,                0.81259,                0.66674,                 0.3875,                 1.2505,                0.85383,                 1.6557,              0.0007492,              0.0007492,              0.0007492
                     41,                 1.0003,                0.85119,                 1.2903,                0.69836,                0.76871,                0.71619,                0.45822,                 1.1963,                0.83472,                 1.5751,              0.0007426,              0.0007426,              0.0007426
                     42,                 1.0118,                 0.8444,                 1.2875,                 0.7005,                0.68338,                0.72848,                0.44856,                 1.2195,                0.86418,                 1.6174,               0.000736,               0.000736,               0.000736
                     43,                0.99568,                0.82063,                 1.2862,                0.61711,                 0.7809,                0.67081,                0.42072,                 1.2233,                  0.873,                 1.6081,              0.0007294,              0.0007294,              0.0007294
                     44,                0.98438,                0.80143,                 1.2768,                0.77362,                 0.7453,                0.74008,                0.46416,                 1.2214,                0.89636,                 1.5901,              0.0007228,              0.0007228,              0.0007228
                     45,                 1.0033,                0.83653,                  1.288,                0.76856,                0.73229,                0.84617,                0.51074,                 1.2571,                0.88779,                 1.5885,              0.0007162,              0.0007162,              0.0007162
                     46,                0.99706,                0.80844,                 1.2738,                0.76264,                0.66593,                0.81475,                0.53139,                 1.1913,                0.87893,                 1.5486,              0.0007096,              0.0007096,              0.0007096
                     47,                0.99462,                0.80644,                 1.2868,                  0.647,                 0.6346,                0.68083,                0.41616,                 1.2517,                0.86632,                 1.6193,               0.000703,               0.000703,               0.000703
                     48,                0.96875,                0.80345,                 1.2712,                0.73085,                0.65891,                0.80919,                0.49375,                 1.2861,                0.85844,                 1.6581,              0.0006964,              0.0006964,              0.0006964
                     49,                 0.9853,                0.81123,                 1.2793,                0.84821,                0.75146,                0.85544,                0.52782,                 1.2059,                0.83751,                 1.5978,              0.0006898,              0.0006898,              0.0006898
                     50,                0.97298,                0.78069,                 1.2726,                0.71384,                0.81968,                0.77467,                0.50743,                 1.2288,                0.82136,                 1.5875,              0.0006832,              0.0006832,              0.0006832
                     51,                 0.9751,                0.78235,                 1.2636,                0.84015,                0.71917,                0.86462,                0.53925,                   1.21,                0.81202,                 1.5887,              0.0006766,              0.0006766,              0.0006766
                     52,                0.94708,                0.76436,                 1.2586,                0.64893,                0.84645,                0.74104,                0.46468,                 1.2077,                0.81547,                 1.6002,                0.00067,                0.00067,                0.00067
                     53,                0.96558,                0.78489,                  1.257,                0.73203,                0.80652,                 0.8568,                0.53801,                 1.1697,                 0.7821,                 1.5667,              0.0006634,              0.0006634,              0.0006634
                     54,                0.95195,                0.76676,                 1.2542,                0.75379,                0.78983,                0.78354,                0.49877,                 1.1878,                0.81233,                 1.5772,              0.0006568,              0.0006568,              0.0006568
